Das sind die Freuden {{c1::maßloser}} Selbstüberschätzung.		
Obwohl das der am besten bezahlte Job auf dem Campus ist.		
Zwei Monate später langweilt mich das Speedreading bis zur Bewusstlosigkeit, und ich mache meinen Laden dicht.		
Dienstleistungen sind nicht mein Ding - was ich brauche, ist ein Produkt, das ich verschicken kann.		
Ich teile dem Prüfungsamt mit, dass ich die Universität bis auf weiteres verlasse.	bis auf weiteres = until further notice	
(Maybe I was better off){{c1::Vielleicht war ich doch besser dran}}, als ich Anordnungen befolgen und mir nicht über andere Optionen den Kopf zerbrechen musste.		
Vielleicht war ich doch besser dran, als ich (follow orders){{c1::Anordnungen befolgen}} und mir nicht über andere Optionen den Kopf zerbrechen musste.		
Vielleicht war ich doch besser dran, als ich Anordnungen befolgen und {{c1::mir}} nicht über andere Optionen den Kopf zerbrechen musste.		
Vielleicht war ich doch besser dran, als ich Anordnungen befolgen und mir nicht über andere Optionen {{c1::den}} Kopf zerbrechen musste.		
Vielleicht war ich doch besser dran, als ich Anordnungen befolgen und mir nicht über andere Optionen den {{c1::Kopf}} zerbrechen musste.		
Vielleicht war ich doch besser dran, als ich Anordnungen befolgen und mir nicht über andere Optionen den Kopf {{c1::zerbrechen}} musste.		
Vielleicht war ich doch besser dran, als ich Anordnungen befolgen und mir nicht über (other options){{c1::andere Optionen}} den Kopf zerbrechen musste.		
Bin ich wirklich erfolgreich, (or am I just kidding myself?){{c1::oder mache ich mir nur etwas vor}}?		
(Have I lowered my standands){{c1::Habe ich meine Standards gesenkt}}, um mich zu einem Sieger zu machen? Haben in Wirklichkeit meine Freunde, die inzwischen doppelt so viel verdienen wie vor drei Jahren, den richtigen Weg gewählt?		
Habe ich meine Standards gesenkt, um mich zu einem Sieger zu machen? Haben in Wirklichkeit meine Freunde, die (now){{c1::inzwischen}} doppelt so viel verdienen wie vor drei Jahren, den richtigen Weg gewählt?		
Habe ich meine Standards gesenkt, um mich zu einem Sieger zu machen? Haben in Wirklichkeit meine Freunde, die inzwischen doppelt so viel verdienen wie vor drei Jahren, (chosen the right way?){{c1::den richtigen Weg gewählt}}?		
(Most of these thoughts){{c1::Die meisten dieser Gedanken}} kann man hinter sich lassen, sobald man sie als das erkannt hat, was sie eigentlich sind.		
Die meisten dieser Gedanken kann man hinter sich lassen, (as soon as you've seen them for what they actually are){{c1::sobald man sie als das erkannt hat, was sie eigentlich sind}}.		
(But there is also a deeper insight){{c1::Aber es gibt auch eine tiefere Einsicht}}, die man an dieser Stelle gewinnen kann.		
(Do you rememeber a moment){{c1::Erinnern Sie sich an einen Moment}}, in dem Sie sich zu 100 Prozent lebendig fühlten - im Flow, wie die Psychologen sagen?		
Erinnern Sie sich an einen Moment, (when you felt 100 procent alive){{c1::in dem Sie sich zu 100 Prozent lebendig fühlten}} - im Flow, wie die Psychologen sagen?		
Fragen nach Dingen, (which are outside of our sphere of influence){{c1::die außerhalb unseres Einflussbereichs liegen}} - wie etwa: "Was ist, wenn der Zug morgen Verspätung hat?" -, scheitern vor allem an der zweiten Frage und sollten deshalb ignoriert werden.		
Fragen nach Dingen, die außerhalb unseres Einflussbereichs liegen - (such as){{c1::wie etwa}}: "Was ist, wenn der Zug morgen Verspätung hat?" -, scheitern vor allem an der zweiten Frage und sollten deshalb ignoriert werden.		
Fragen nach Dingen, die außerhalb unseres Einflussbereichs liegen - wie etwa: (What if the train is late tomorrow?){{c1::Was ist, wenn der Zug morgen Verspätung hat?}} -, scheitern vor allem an der zweiten Frage und sollten deshalb ignoriert werden.		
Fragen nach Dingen, die außerhalb unseres Einflussbereichs liegen - wie etwa: "Was ist, wenn der Zug morgen Verspätung hat?" -, (fail){{c1::scheitern}} vor allem an der zweiten Frage und sollten deshalb ignoriert werden.		
Fragen nach Dingen, die außerhalb unseres Einflussbereichs liegen - wie etwa: "Was ist, wenn der Zug morgen Verspätung hat?" -, scheitern vor allem {{c1::an}} der zweiten Frage und sollten deshalb ignoriert werden.		
Fragen nach Dingen, die außerhalb unseres Einflussbereichs liegen - wie etwa: "Was ist, wenn der Zug morgen Verspätung hat?" -, scheitern vor allem an {{c1::der}} zweiten Frage und sollten deshalb ignoriert werden.		
Fragen nach Dingen, die außerhalb unseres Einflussbereichs liegen - wie etwa: "Was ist, wenn der Zug morgen Verspätung hat?" -, scheitern vor allem an der (second){{c1::zweiten}} Frage und sollten deshalb ignoriert werden.		
Fragen nach Dingen, die außerhalb unseres Einflussbereichs liegen - wie etwa: "Was ist, wenn der Zug morgen Verspätung hat?" -, scheitern {{c1::vor allem}} an der zweiten Frage und sollten deshalb ignoriert werden.		
(It's just not worth it){{c1::Es lohnt sich einfach nicht,}} über solche Dinge nachzugrübeln.		
Es lohnt sich einfach nicht, (about such things){{c1::über solche Dinge}} nachzugrübeln.		
Es lohnt sich einfach nicht, (to dwell on such things){{c1::über solche Dinge nachzugrübeln}}.		
(If you only take this one point away from this book){{c1::Wenn Sie sich nur diesen einen Punkt aus diesem Buch zu Herzen nehmen}}, dann wird Sie das schon in die Top-Leistungselite der Welt befördern und das philosophische Elend weitgehend aus Ihrem Leben fernhalten.		
Wenn Sie sich nur diesen einen Punkt aus diesem Buch zu Herzen nehmen, dann wird Sie das schon in die Top-Leistungselite der Welt befördern und das philosophische Elend weitgehend (keep out of your life){{c1::aus Ihrem Leben fernhalten}}.		
Es heißt nicht, dass man (crude){{c1::ungehobelt}} oder oberflächlich ist. Es heißt, dass man klug genug ist, seine Energie dort hineinzustecken, wo sie am ehesten etwas bewirken kann.		
Es heißt nicht, dass man ungehobelt oder oberflächlich ist. Es heißt, dass man klug genug ist, (to input your energy){{c1::seine Energie dort hineinzustecken}}, wo sie am ehesten etwas bewirken kann.		
Es heißt nicht, dass man ungehobelt oder oberflächlich ist. Es heißt, dass man klug genug ist, seine Energie dort hineinzustecken,(where it can most likely have an effect){{c1::wo sie am ehesten etwas bewirken kann}}.		
(Every person){{c1::Jeder Mensch}} hat seine eigenen Methoden, diese beiden Ziele zu erreichen, und die können sich im Lauf der Zeit verändern.		
Jeder Mensch hat (his own methods){{c1::seine eigenen Methoden}}, diese beiden Ziele zu erreichen, und die können sich im Lauf der Zeit verändern.		
Jeder Mensch hat seine eigenen Methoden, (of reaching these two goals){{c1::diese beiden Ziele zu erreichen}}, und die können sich im Lauf der Zeit verändern.		
Jeder Mensch hat seine eigenen Methoden, diese beiden Ziele zu erreichen, und die können sich (over time){{c1::im Lauf der Zeit}} verändern.		
Ich habe meine persönliche Antwort auf beide Anforderungen gefunden: lieben, geliebt werden und (never stop learning){{c1::nie mit dem Lernen aufhören}}.		
(But I don't assume that){{c1::Ich gehe aber nicht davon aus}}, dass meine Antwort universelle Gültigkeit hat.		
Ich gehe aber nicht davon aus, dass meine Antwort (universal validity){{c1::universelle Gültigkeit}} hat.		
Viele verurteilen die Ausrichtung auf Eigenliebe und Genuss als egoistisch oder hedonistisch, (but it is neither one of the two){{c1::aber es ist weder das eine noch das andere}}.		
Viele verurteilen die (focus){{c1::Ausrichtung}} auf Eigenliebe und Genuss als egoistisch oder hedonistisch, aber es ist weder das eine noch das andere.		
Viele (condemn){{c1::verurteilen}} die Ausrichtung auf Eigenliebe und Genuss als egoistisch oder hedonistisch, aber es ist weder das eine noch das andere.		
Doch auch wenn wir so weit übereinstimmen, steht immer noch die Frage im Raum: "Was kann ich mit meiner Zeit tun, um mein Leben zu genießen und (and feel gut){{c1::mich dabei gut zu fühlen}}?"		
Doch auch wenn wir so weit übereinstimmen, steht (still){{c1::immer noch}} die Frage im Raum: "Was kann ich mit meiner Zeit tun, um mein Leben zu genießen und mich dabei gut zu fühlen?"		
(But even if we agree so far){{c1::Doch auch wenn wir so weit übereinstimmen}}, steht immer noch die Frage im Raum: "Was kann ich mit meiner Zeit tun, um mein Leben zu genießen und mich dabei gut zu fühlen?"		
Doch auch wenn wir so weit übereinstimmen, (the question is){{c1::steht immer noch die Frage im Raum}}: "Was kann ich mit meiner Zeit tun, um mein Leben zu genießen und mich dabei gut zu fühlen?"		
Ich kann keine allgemeingültige Antwort anbieten, doch (on the basis of dozens of interviews){{c1::auf der Basis von Dutzenden von Interviews}} mit NR, die ein zufriedenes und erfülltes Leben führen, kann ich sagen, dass es zwei grundlegende Komponenten gibt: kontinuierliches Lernen und Dienen.		
Ich kann keine allgemeingültige Antwort anbieten, doch auf der Basis von Dutzenden von Interviews mit NR, (who are leading satisfied and fulfilled lives){{c1::die ein zufriedenes und erfülltes Leben führen}}, kann ich sagen, dass es zwei grundlegende Komponenten gibt: kontinuierliches Lernen und Dienen.		
Ich kann keine allgemeingültige Antwort anbieten, doch auf der Basis von Dutzenden von Interviews mit NR, die ein zufriedenes und erfülltes Leben führen, kann ich sagen, (that there are two fundamental components){{c1::dass es zwei grundlegende Komponenten gibt}}: kontinuierliches Lernen und Dienen.		
Lernen ohne Grenzen: (Sharpen your saw){{c1::Schärfen Sie Ihre Säge}}.		
Natürlich kann man sein Gehirn auch zu Hause (get into shape){{c1::auf Vordermann bringen}}, doch Reisen und Umzüge bieten einzigartige Bedingungen, die viel schnellere Fortschritte ermöglichen.		
Natürlich kann man sein Gehirn auch zu Hause auf Vordermann bringen, doch Reisen und Umzüge (offer unique conditions){{c1::bieten einzigartige Bedingungen}}, die viel schnellere Fortschritte ermöglichen.		
Natürlich kann man sein Gehirn auch zu Hause auf Vordermann bringen, doch Reisen und Umzüge bieten einzigartige Bedingungen, die viel schnellere Fortschritte (make possible){{c1::ermöglichen}}.		
(New surroundings){{c1::Eine neue Umgebung}} wirkt als Kontrapunkt und Spiegel für die eigenen Vorurteile und sorgt dafür, dass solche Schwächen viel leichter kuriert werden können.		
Eine neue Umgebung wirkt als Kontrapunkt und Spiegel für (your own prejedices){{c1::die eigenen Vorurteile}} und sorgt dafür, dass solche Schwächen viel leichter kuriert werden können.		
Ich reise selten irgendwohin, (without having the firm intention){{c1::ohne den festen Vorsatz zu haben}}, eine bestimmte Fertigkeit zu erlernen. Hier sind ein paar Beispiele.		
Ich reise selten irgendwohin, ohne den festen Vorsatz zu haben, (to learn a certain skill){{c1::eine bestimmte Fertigkeit zu erlernen}}. Hier sind ein paar Beispiele.		
Ich reise selten (somewhere){{c1::irgendwohin}}, ohne den festen Vorsatz zu haben, eine bestimmte Fertigkeit zu erlernen. Hier sind ein paar Beispiele.		
(The main thing is, it stops you){{c1::Hauptsache, es hindert Sie daran}}, die Nase allein in ein Lehrbuch zu stecken und in der Wohnung herumzusitzen.		
Hauptsache, es hindert Sie daran, (sticking your nose in textbook){{c1::die Nase  in ein Lehrbuch zu stecken}} und in der Wohnung herumzusitzen.		
Sport ist übrigens auch ein großartiges Umfeld, um das Lampenfieber zu überwinden und (bring along the new language skills){{c1::die neuen Sprachkenntnisse anzubringen}}.		
Sport ist übrigens auch ein großartiges Umfeld, um (get over the stage fright){{c1::das Lampenfieber zu überwinden}} und die neuen Sprachkenntnisse anzubringen.		
(Also){{c1::Außerdem}} kann man auf diese Weise dauerhafte Freundschaften knüpfen, selbst wenn man sich noch anhört wie Tarzan.		
Außerdem kann man auf diese Weise (make lasting friendships){{c1::dauerhafte Freundschaften knüpfen}}, selbst wenn man sich noch anhört wie Tarzan.		
Außerdem kann man auf diese Weise dauerhafte Freundschaften knüpfen, (even if you still sound like Tarzan){{c1::selbst wenn man sich noch anhört wie Tarzan}}.		
(Foreign language learning){{c1::Das Erlernen von Fremdsprachen}} verdient eine gesonderte Erwähnung. Es ist mit Abstand das Beste, was Sie tun können, um klares Denken zu trainieren.		
Das Erlernen von Fremdsprachen verdient (a special mention){{c1::eine gesonderte Erwähnung}}. Es ist mit Abstand das Beste, was Sie tun können, um klares Denken zu trainieren.		
Das Erlernen von Fremdsprachen verdient eine gesonderte Erwähnung. (It is by far the best thing you can do){{c1::Es ist mit Abstand das Beste, was Sie tun können}}, um klares Denken zu trainieren.		
Das Erlernen von Fremdsprachen verdient eine gesonderte Erwähnung. Es ist mit Abstand das Beste, was Sie tun können, um (clarity of thought){{c1::klares Denken}} zu trainieren.		
(Apart from the fact){{c1::Ganz abgesehen von der Tatsache}}, dass es unmöglich ist, eine Kultur zu verstehen, ohne ihre Sprache zu beherrschen, macht das Erlernen einer Sprache einem auch die eigene Sprache bewusst - und die eigenen Gedanken.		
Ganz abgesehen von der Tatsache, dass es unmöglich ist, eine Kultur zu verstehen, ohne ihre Sprache zu beherrschen, (language learning also makes you aware of your own langauge){{c1::macht das Erlernen einer Sprache einem auch die eigene Sprache bewusst}} - und die eigenen Gedanken.		
Ganz abgesehen von der Tatsache, dass es unmöglich ist, eine Kultur zu verstehen, ohne ihre Sprache zu beherrschen, macht das Erlernen einer Sprache einem auch die eigene Sprache bewusst - und (your own thoughts){{c1::die eigenen Gedanken}}.		
(This additional use){{c1::Dieser Zusatznutzen}}, wenn Sie lernen, sich in einer anderen Sprache auszudrücken, wird oft ebenso unterschätzt, wie die Schwierigkeit überschätzt wird, eine neue Sprache zu erlernen.		
Dieser Zusatznutzen, wenn Sie lernen, (to express yourself in another langauge){{c1::sich in einer anderen Sprache auszudrücken}}, wird oft ebenso unterschätzt, wie die Schwierigkeit überschätzt wird, eine neue Sprache zu erlernen.		
(If you invest four hours a day){{c1::Wenn man vier Stunden pro Tag investiert}}, können die sechs Monate auf weniger als drei heruntergeschraubt werden.		
Wenn man vier Stunden pro Tag investiert, (the six months can be reduced to less that three){{c1::können die sechs Monate auf weniger als drei heruntergeschraubt werden}}.		
Wenn man vier Stunden pro Tag investiert, können die sechs Monate {{c1::auf}} weniger als drei heruntergeschraubt werden.		
Wenn man vier Stunden pro Tag investiert, können die sechs Monate auf weniger als drei {{c1::heruntergeschraubt}} werden.		
(I have learnt six languages ){{c1::Ich habe sechs Sprachen erlernt}}, nachdem ich in der Highschool in Spanisch durchgefallen war - es kommt halt auf die Methode an.		
Ich habe sechs Sprachen erlernt, nachdem ich in der Highschool in Spanisch (flunked){{c1::durchgefallen}} war - es kommt halt auf die Methode an.		
Ich habe sechs Sprachen erlernt, nachdem ich in der Highschool in Spanisch durchgefallen war - (it just depends on the method){{c1::es kommt halt auf die Methode an}}.		
(A new language gives you a new perspective){{c1::Eine neue Sprache schenkt Ihnen eine neue Perspektive}}, einen neuen Blickwinkel, aus dem heraus Sie die Welt hinterfragen und verstehen können.		
Eine neue Sprache schenkt Ihnen eine neue Perspektive, (a new angle){{c1::einen neuen Blickwinkel}}, aus dem heraus Sie die Welt hinterfragen und verstehen können.		
Eine neue Sprache schenkt Ihnen eine neue Perspektive, einen neuen Blickwinkel, aus dem {{c1::heraus}} Sie die Welt hinterfragen und verstehen können.		
(As you'd expect){{c1::Wie nicht anders zu erwarten}}, werde ich in diesem Kapitel auch über das Dienen sprechen. Und wie bei allem Vorangegangenen ist auch hier mein Ansatz ein bisschen anders, als Sie es vielleicht erwarten.		
Wie nicht anders zu erwarten, werde ich in diesem Kapitel auch über das Dienen sprechen. (And as in all the previous ones){{c1::Und wie bei allem Vorangegangenen}} ist auch hier mein Ansatz ein bisschen anders, als Sie es vielleicht erwarten.		
Wie nicht anders zu erwarten, werde ich in diesem Kapitel auch über das Dienen sprechen. Und wie bei allem Vorangegangenen ist auch hier (my approach){{c1::mein Ansatz}} ein bisschen anders, als Sie es vielleicht erwarten.		
"Alles da draußen braucht Hilfe, (so don't get into one of these ""my cause is better that yours"" competitions){{c1::also lassen Sie sich nicht auf einen dieser "Mein guter Zweck ist besser als deiner"-Wettbewerbe ein}}, bei denen es keinen Sieger gibt."		
Alles da draußen braucht Hilfe, also {{c1::lassen}} Sie sich nicht auf einen dieser "Mein guter Zweck ist besser als deiner"-Wettbewerbe ein, bei denen es keinen Sieger gibt.		
Alles da draußen braucht Hilfe, also lassen Sie {{c1::sich}} nicht auf einen dieser "Mein guter Zweck ist besser als deiner"-Wettbewerbe ein, bei denen es keinen Sieger gibt.		
Alles da draußen braucht Hilfe, also lassen Sie sich nicht {{c1::auf}} einen dieser "Mein guter Zweck ist besser als deiner"-Wettbewerbe ein, bei denen es keinen Sieger gibt.		
Alles da draußen braucht Hilfe, also lassen Sie sich nicht auf {{c1::einen}} dieser "Mein guter Zweck ist besser als deiner"-Wettbewerbe ein, bei denen es keinen Sieger gibt.		
Alles da draußen braucht Hilfe, also lassen Sie sich nicht auf einen {{c1::dieser}} "Mein guter Zweck ist besser als deiner"-Wettbewerbe ein, bei denen es keinen Sieger gibt.		
Alles da draußen braucht Hilfe, also lassen Sie sich nicht auf (one of these){{c1::einen dieser}} "Mein guter Zweck ist besser als deiner"-Wettbewerbe ein, bei denen es keinen Sieger gibt.		
Alles da draußen braucht Hilfe, also lassen Sie sich nicht auf einen dieser "Mein guter Zweck ist besser als deiner"-(competitions){{c1::Wettbewerbe}} ein, bei denen es keinen Sieger gibt.		
Alles da draußen braucht Hilfe, also lassen Sie sich nicht auf einen dieser "Mein guter Zweck ist besser als deiner"-Wettbewerbe ein, (where there is no winner){{c1::bei denen es keinen Sieger gibt}}.		
(Put another way){{c1::Anders ausgedrückt}}: Wir kennen die langfristigen Konsequenzen nicht.		
Anders ausgedrückt: (We dont know the long-term concequences){{c1::Wir kennen die langfristigen Konsequenzen nicht}}.		
Finden Sie den guten Zweck oder das Thema, (that interests you the most){{c1::das Sie am meisten interessiert}}, und verlieren Sie sich nicht in Rechtfertigungen.		
Finden Sie den guten Zweck oder das Thema, das Sie am meisten interessiert, und (don't get lost in){{c1::verlieren Sie sich nicht in}} Rechtfertigungen.		
Aber ich kann doch nicht (for the rest of my life){{c1::für den Rest meines Lebens}} in der Welt herumreisen, Sprachen lernen oder für irgendeine Sache kämpfen!		
(These are all just suggestions ){{c1::All das sind lediglich Anregungen}}, wie Sie das Ganze angehen können.		
All das sind lediglich Anregungen, (how you can approach the whole thing){{c1::wie Sie das Ganze angehen können}}.		
(You will have lots of new experiences){{c1::Sie werden viele neue Erfahrungen machen}}, und es werden Ihnen neue Chancen begegnen.		
(There is no correct answer to the question){{c1::Es gibt keine richtige Antwort auf die Frage}} "Was soll ich mit meinem Leben anfangen?". Und das "soll" sollten Sie schon einmal gleich ganz vergessen.		
Es gibt keine richtige Antwort auf die Frage "(What am I supposed to do with my life?){{c1::Was soll ich mit meinem Leben anfangen?}}". Und das "soll" sollten Sie schon einmal gleich ganz vergessen.		
Es gibt keine richtige Antwort auf die Frage "Was soll ich mit meinem Leben anfangen?". Und das "soll" sollten Sie {{c1::schon}} einmal gleich ganz vergessen.		
Es gibt keine richtige Antwort auf die Frage "Was soll ich mit meinem Leben anfangen?". Und das "soll" sollten Sie schon {{c1::einmal}} gleich ganz vergessen.		
(Give yourself time to find something){{c1::Nehmen Sie sich die Zeit, etwas zu finden}}, zu dem Sie sich berufen fühlen. Ihre "Berufung" wird Sie auf den richtigen Weg bringen.		
Nehmen Sie sich die Zeit, etwas zu finden, (that you feel called to){{c1::zu dem Sie sich berufen fühlen}}. Ihre "Berufung" wird Sie auf den richtigen Weg bringen.		
Nehmen Sie sich die Zeit, etwas zu finden, zu dem Sie sich berufen fühlen. Ihre "(calling){{c1::Berufung}}" wird Sie auf den richtigen Weg bringen.		
Nehmen Sie sich die Zeit, etwas zu finden, zu dem Sie sich berufen fühlen. Ihre "Berufung" (will set you on the right track){{c1::wird Sie auf den richtigen Weg bringen}}.		
(A good deed){{c1::Eine gute Tat}} fühlt sich noch besser an, wenn sie anonym, also gewissermaßen rein ist.		
Eine gute Tat (feels even better){{c1::fühlt sich noch besser an}}, wenn sie anonym, also gewissermaßen rein ist.		
Eine gute Tat fühlt sich noch besser an, wenn sie anonym, also (as it were){{c1::gewissermaßen}} rein ist.		
Gehen Sie noch einmal Ihre Traumpläne durch und (re-adjust them){{c1::richten Sie sie neu aus}}.		
Schauen Sie Ihre Traumpläne nach diesem Mini-Ruhestand noch einmal an und (and adjust them if necessary){{c1::richten Sie sie wenn nötig neu aus}}.		
(There is nothing wrong with full time work){{c1::Vollzeitarbeit ist nichts Schlimmes}}, wenn es das ist, was Sie gerne tun wollen. Das ist der Punkt, in dem sich "Arbeit" und "Berufung" unterscheiden.		
Vollzeitarbeit ist nichts Schlimmes, (if it is what you want to do){{c1::wenn es das ist, was Sie gerne tun wollen}}. Das ist der Punkt, in dem sich "Arbeit" und "Berufung" unterscheiden.		
 Vollzeitarbeit ist nichts Schlimmes, wenn es das ist, was Sie gerne tun wollen. (That is the point){{c1::Das ist der Punkt}}, in dem sich "Arbeit" und "Berufung" unterscheiden.		
Vollzeitarbeit ist nichts Schlimmes, wenn es das ist, was Sie gerne tun wollen. Das ist der Punkt, (where work and calling differ){{c1::in dem sich "Arbeit" und "Berufung" unterscheiden}}.		
Ihre Begeisterung aus Kindertagen (to revive){{c1::wieder aufleben zu lassen}} ist nicht unmöglich.		
Ihre Begeisterung (from childhood){{c1::aus Kindertagen}} wieder aufleben zu lassen ist nicht unmöglich.		
Wenn du keine Fehler machst, dann sind die Probleme, (that you are working on){{c1::an denen du arbeitest}}, nicht schwierig genug. Und das ist ein großer Fehler.		
(Again and again){{c1::Immer wieder}} werden Gedanken und Reflexe auftauchen, die Sie an Ihr altes Leben erinnern. Dagegen müssen Sie sich zur Wehr setzen.		
Immer wieder (thoughts and reflexes will come up){{c1::werden Gedanken und Reflexe auftauchen}}, die Sie an Ihr altes Leben erinnern. Dagegen müssen Sie sich zur Wehr setzen.		
Immer wieder werden Gedanken und Reflexe auftauchen, die Sie an Ihr altes Leben erinnern. (You have to defend yourself against this){{c1::Dagegen müssen Sie sich zur Wehr setzen}}.		
Konzentrieren Sie sich auf (the profitable){{c1::die profitablen}} und wenig "wartungsintensiven" Kunden, das bringt viel, viel mehr.		
(Decide on a place for work){{c1::Bestimmen Sie einen Ort für die Arbeit}}, und zwar nur für die Arbeit. Ansonsten werden Sie nie in der Lage sein, ihr zu entkommen.		
Bestimmen Sie einen Ort für die Arbeit, (and only for work){{c1::und zwar nur für die Arbeit}}. Ansonsten werden Sie nie in der Lage sein, ihr zu entkommen.		
Bestimmen Sie einen Ort für die Arbeit, und zwar nur für die Arbeit. (Otherwise you'll never be able to escape it){{c1::Ansonsten werden Sie nie in der Lage sein, ihr zu entkommen}}.		
(Every routine that you get into){{c1::Jede Routine, in die Sie verfallen}}, ist eine, aus der Sie auch wieder herauskommen können.		
Geteiltes Glück (in the form of){{c1::in Form von}} Freundschaften und Liebe ist vervielfachtes Glück.		
Gehen Sie nach einem Einwand nicht in die Defensive. (Acknowledge){{c1::Erkennen Sie an}}, dass die Bedenken Ihres Chefs berechtigt sind, um einen Konflikt zu vermeiden.		
Gehen Sie nach einem Einwand nicht in die Defensive. Erkennen Sie an, dass (your bosses concerns){{c1::die Bedenken Ihres Chefs}} berechtigt sind, um einen Konflikt zu vermeiden.		
Das ist (crucial){{c1::entscheidend}}, um den ersten Sprung über den großen Teich wagen zu können.		
Wenn Sie das Leben verwirrend finden, (you are not alone){{c1::sind Sie damit nicht allein}}. Es gibt fast sieben Milliarden Menschen, und die meisten grübeln darüber nach.		
Wenn Sie das Leben verwirrend finden, sind Sie damit nicht allein. (There are almost seven billion people){{c1::Es gibt fast sieben Milliarden Menschen}}, und die meisten grübeln darüber nach.		
(So be brave){{c1::Also seien Sie mutig}} und kümmern Sie sich nicht darum, was die Leute denken - in der Regel denken diese sowieso seltener über Sie nach, als Sie glauben.		
Also seien Sie mutig und (and don't bother about what people think){{c1::kümmern Sie sich nicht darum, was die Leute denken}} - in der Regel denken diese sowieso seltener über Sie nach, als Sie glauben.		
Also seien Sie mutig und kümmern Sie sich nicht darum, was die Leute denken - in der Regel (they think less about you than you think){{c1::denken diese sowieso seltener über Sie nach, als Sie glauben}}.		
In diesem Buch steckt mehr, als Sie in den Händen halten. (I wanted to pack more in){{c1::Ich wollte viel mehr hineinpacken}}, was aufgrund des Umfangs leider nicht möglich war.		
Viel Spaß beim Surfen und vergessen Sie nicht, mehr Zeit, mehr Geld, mehr Leben (to strive for){{c1::anzustreben}}.		
(This book wasn't more than an idea){{c1::Dieses Buch war nicht mehr als eine Idee}}, bis Sie ihm Leben einhauchten.		
Dieses Buch war nicht mehr als eine Idee, (until you breathed life into it){{c1::bis Sie ihm Leben einhauchten}}.		
Ich musste ständig ans Essen denken - ich war schon völlig (starved){{c1::ausgehungert}}.		
Das Signal auf meinem Mobiltelefon verblasste (visibly){{c1::zusehends}}, je weiter ich mich von der Zivilisation entfernte, und mein Kontakt zur Außenwelt drohte abzubrechen.		
Das Signal auf meinem Mobiltelefon (faded){{c1::verblasste}} zusehends, je weiter ich mich von der Zivilisation entfernte, und mein Kontakt zur Außenwelt drohte abzubrechen.		
Das Signal auf meinem Mobiltelefon verblasste zusehends, je weiter ich mich von der Zivilisation entfernte, und mein Kontakt (to the outside world){{c1::zur Außenwelt}} drohte abzubrechen.		
Das Signal auf meinem Mobiltelefon verblasste zusehends, je weiter ich mich von der Zivilisation entfernte, und mein Kontakt zur Außenwelt (threatened){{c1::drohte}} abzubrechen.		
Das Signal auf meinem Mobiltelefon verblasste zusehends, (the further I moved from civilisation){{c1::je weiter ich mich von der Zivilisation entfernte}}, und mein Kontakt zur Außenwelt drohte abzubrechen.		
Das Signal auf (my){{c1::meinem}} Mobiltelefon verblasste zusehends, je weiter ich mich von der Zivilisation entfernte, und mein Kontakt zur Außenwelt drohte abzubrechen.		
(It was a rare moment of reflection){{c1::Es war ein seltener Moment der Besinnung}} in meinem sonst so hektischen Leben.		
Es war ein (rare){{c1::seltener}} Moment der Besinnung in meinem sonst so hektischen Leben.		
Es war ein seltener Moment (of reflection){{c1::der Besinnung}} in meinem sonst so hektischen Leben.		
Es war ein seltener Moment der Besinnung (in my otherwise hectic life){{c1::in meinem sonst so hektischen Leben}}.		
Ein Mann tippte an seinen Hut und grüßte, (as I came by){{c1::als ich vorbeikam}}, und eine Dame, die mit einem roten Besen den Gehsteig fegte, blieb stehen und lächelte.		
 Wegen meines Doppellebens aßen wir nicht sehr oft im Kreis der Familie zusammen; (all the more){{c1::desto mehr}} hatte ich dieses Essen genossen - vertrockneter Käse hin oder her.		
Wegen meines Doppellebens aßen wir nicht sehr oft im Kreis der Familie zusammen; desto mehr hatte ich dieses Essen genossen - vertrockneter Käse (or not){{c1::hin oder her}}.		
(The children didn't seem to find that strange){{c1::Die Kinder schienen das nicht merkwürdig zu finden}} (sie kannten ohnehin nichts anderes), und meine Eltern hatten sich ebenfalls daran gewöhnt.		
Die Kinder schienen das nicht merkwürdig zu finden (sie kannten (anyway){{c1::ohnehin}} nichts anderes), und meine Eltern hatten sich ebenfalls daran gewöhnt.		
(Although this conversation was only a few hours ago){{c1::Obwohl diese Unterhaltung erst ein paar Stunden her war}}, schien bereits eine Ewigkeit vergangen zu sein.		
Obwohl diese Unterhaltung erst ein paar Stunden her war, (an eternity seemed to have passed){{c1::schien bereits eine Ewigkeit vergangen zu sein}}.		
(Other pizza chains){{c1::Andere Pizza-Ketten}} sind eben nicht so flexibel wie Round Table. Die meisten von ihnen haben komplizierte Lieferbedingungen und Grundsätze - pingelige kleine Regeln wie die, dass man eine Straßenadresse angeben muss, um eine Pizza-Lieferung zu erhalten.		
Andere Pizza-Ketten sind eben nicht so flexibel wie Round Table. (Most of them){{c1::Die meisten von ihnen}} haben komplizierte Lieferbedingungen und Grundsätze - pingelige kleine Regeln wie die, dass man eine Straßenadresse angeben muss, um eine Pizza-Lieferung zu erhalten.		
Andere Pizza-Ketten sind eben nicht so flexibel wie Round Table. Die meisten von ihnen haben komplizierte Lieferbedingungen und (policies){{c1::Grundsätze}} - pingelige kleine Regeln wie die, dass man eine Straßenadresse angeben muss, um eine Pizza-Lieferung zu erhalten.		
